Review,Rating
"X is one of the best punk bands ever. I don't even like calling them a punk band, but that's what they call themselves so I guess it's OK. This is musically complex punk with a lot of influences and a lot of tight playing and gripping tunes.

This is an awesome concert. The only two problems are that 1) it is just 67 minutes long and 2) John Doe's bass is buried too deep in the mix.

Every X fan should get this. More importantly, anyone who doesn't know about X should get this.

Why X? Did you know, for example, that:
- X has a different sound based on the unique harmonies between co-lead singers Exene Cervenka and John Doe that really sets them apart from anything else out there?
- Doe, Cervenka and drummer DJ Bonebrake also play in the country punk band The Knitters?
- Billy Zoom, the guitarist who originally formed the band, used to play rockabilly guitar for Gene Vincent and other big stars, and has been voted one of the greatest guitar players ever by Guitar Player magazine?
- X were playing Leadbelly tunes way before Kurt Cobain?
- Ray Manzarek, keyboard player of The Doors, produced X's first four albums? This is one of the big reasons why the band covered and generally closed its concerts with ""Soul Kitchen"" from the album&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Doors/dp/B000MCIBE8/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Doors</a>
- Cervenka and Doe used to be married, before Exene later married Viggo Mortensen -- Aragorn from the Lord of the Rings movies?
- Billy Zoom left the band from the mid-1980s to the mid-1990s, but during this time the band still managed to record&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/X-Live-at-the-Whisky-a-Go-Go/dp/B000005IRW/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">X Live at the Whisky a Go-Go</a>, one of the greatest live rock albums ever, with guitarist Tony Gilkyson?

As this DVD proves, X is still as good as ever. Billy Zoom still plays standing in his trademark splayed-leg stance with a broad grin on his face. Did I say he is awesome? Awesome.

I waited way too long before getting this one, thinking I could do without an X DVD. And I could have. But why should I? This really is worth it, and I'm sure I'll be putting this one in the player more often than a lot of my other music DVDs. Really, really good.",5.0
"This is a fantastic video for anyone that is a fan of X or punk music. They sound as great as ever.
The DVD contains all the great songs. I look back fondly on the days when music was raw and real.",5.0
"For all you X fans out there-you will love this DVD -X are a great band live, and if they aren't coming to your town on their tour-this may be the next best thing to seeing them live!",5.0
"I got this DVD as an Xmas gift. I was very hesitant as I did not want to ruin the greatness I had in my vivid memory of X on the Sunset Strip back in the day. Needless to say my trepidation was unwarranted.

This DVD is awesome. It is edited well and they sound great. Billy Zoom has not lost anything and  Bonebrake is as good as ever. John Doe still can sing and has the great bass line, Exene sounds good as well, all though the years have not treated her well.

A must buy for any X fan. Now if the UCLA bruins football can return to the 1979-1984 form as well as X -all would be good.",5.0
"I've loved X since I first saw them here in San Francisco with, I believe, Devo and Romeo Void.  Romeo Void was a disaster due to the tiny outfit Deborah squeezed her huge body into; the audience couldn't stand to look at her even when the music was good. Devo was quite good. Then X came on stage and it was like hearing a great music system play compared to a tinny radio's sound. Man, they were great and they, unlike 99% of the other ""new wave/punk"" bands of the era were pros.  They had it down and played it up. I loved them! Watching this excellent reunion video (yes, Billy Zoom still has that same perpetual, inane smile on his face while playing), I was surprised to see very much the same show I saw all those years ago, with some extra songs that came out later, that is. The band's still electrifying. I'd like to see them ""live"" again, but until then, this video is the next best thing. It's well filmed and has a great selection of their best songs. Sure, they aren't as ""pretty"" as they used to be, but before you say too much, check your rearview mirror to see how you look now compared to 20 some odd years ago. Then, once humbled, go buy this CD. You will love it!",5.0
I think I saw X about 20 - 25 times from 1985 - 1995. They were always great and this brings back a lot of memories for me. They are a tight band that always sound great. I wish this had all of thier songs from that concert that is on the CD.,5.0
"Being born in 1960 really ticked me off...Not old enough to really enjoy or not enjoy those carefree rock/roll, Dylanesque  years and awaiting my young adult years was the end of disco or the beginning of something in music called punk....Being a ""Stranger in a Strange Land"" landed me in the punk scene in the Bay Area...""Dead Kennedy's"" ""The Replacements"" and others were just either playing local clubs or being thrown into jail. Jello Biafra got married in a cemetary..Anywho, I was just shedding my Beatlemania and visiting nightclubs like DV8, One Step Beyond,181, Club X, Das Club, The Edge/Vortex, Face to Face, and Gotham City...I had seen ""X"" on New Year's night 1990 and being I was 30 decided this was my last year for dancing and clubbing...All the new wave/punk places were being torn down or remodeled for the next generation....That night I was blown away! Everyone in X had aged but still retained that youthful spirit and I tell ya it revitalized me! I danced all night long just like the old days....This DVD strangely enough revitilizes me again and had me tapping my feet, bobbing my head or singing along to ""We're Desperate"", ""White Girl"", ""Johnny Hit and Run Pauline""....It's definitely not a Beatles concert but the spirit and energy of the times will affect those of us growing up in those times and listening to that loud music....Geez, whatever happened to Dot Little? She's the one who asked me to be a punk with her! If you see her tell her I still love her!",5.0
"It just so happens that I was at this very show at the HOB in hollywood.  As a matter of fact, I can be seen in many of the shots of the crowd.  This show was nothing short of amazing.  After the show I was permitted to socialize with the band in the upstairs room.  Pretty cool for an old dude like myself.

If you know X, this is a must.  If you are young and new, it's a great place to get a taste of music history.

Dr. Draa",5.0
"I recently saw X live in Atlanta, Georgia and was blown away with thier amazing performance, this DVD displays how they still have a passion for playing punk rock music. Good picture and sound, if you like X, buy this testament of punk history!!!",5.0
"I must admit I was hesitant to purchase this DVD. A classic punk band performing twenty plus years later, what could one expect? Apparently, one can expect a hell of a lot. These guys and gal can still tear their songs apart.

It's well filmed; there isn't that MTV, rapid editing that can cause seizures. The audio is excellent; you can actually understand the lyrics. It's well mixed. It's far superior to a lot of live performance DVD's currently released by some bands. X released a product that is worthy of ones money.

If you like X; you'll love this DVD. If you just appreciate a good rock/punk concert, you won't be disappointed.",5.0
"WE have ""Hide 'Em In your Heart"" the first volume, and I cant say anything but great things about it. All my children love them ranging in age from 12 months to 11. They sing verses directly out of the bible. I find myself singing the verses throughout the day. It is a great tool to put a song in your heart that is in fact God's word. Also a great tool for scripture memorization.",5.0
"My husband and I have had Steve Green's Hide Em In Your Heart Vol's 1 and 2 playing in our home and cars for over 10 years as we have been raising our 7 children.  (We started with cassette tapes!) The quality is great, and the lyrics are simply Bible verses.  The best part is that you will not ""grow weary"" of listening to these as you do with some other children's music.  I recommend them to anyone with small children that is interested in teaching them Bible verses.  They will learn all of these wonderful verses in no time and fill your home with sweet music!",5.0
"We have been playing this album to our 1-year old almost ever since she was born.  She loves the songs so much that sometime she likes to dance along, and sometimes the songs amazingly can calm her down.  All the songs are very pleasant to listen to for the baby and even for us, and we believe it is a great way to teach our daughter bible verses.  We would not need the DVD though if we were to buy it again.",5.0
"I heard about this cd/dvd on the radio and after reading the reviews here I bought it for my 2 year old son.  It is great, the songs are not long, very clever, and I don't mind listening to them over and over either.  My son loves watching the dvd and already knows some of the words, which is awesome because the words are straight from the bible.",5.0
"We all enjoy this video, the clothing is a bit outdated, but the verses and songs are timeless! My youngest children even are saying the  verses along with the narrator the first week!",5.0
"We got this CD/DVD set for our 2 year old, and I can't say enough about the quality of the music and lyrics.  This is clean, healthy, happy music!  The music is beautifully arranged and doesn't sound like a low budget synthesizer.  This is actually well orchestrated and professionally recorded.  The lyrics are straight out of the Bible, and a terrific way to memorize scripture!  Our son has thoroughly enjoyed the music, and begs for us to play it for him over and over.  We have listened to the CD so many times I'm amazed it hasn't gotten worn out, and even more amazingly my husband and I are not sick of it...on the contrary, we are sincerely uplifted by it.  It hasn't gotten on our nerves, the way so many other kid's CD's do.  The DVD is definitely outdated, as far as the outfits go, but the content and the music are delightful!  Don't hesitate on this purchase...you won't be disappointed!",5.0
"Excellent dvd, lots of fun and great songs!  Steve Green is a wonderful artist.",5.0
"The clothing is dated, but the music and words are timeless.  My son has learned so much from watching this DVD.  We don't watch much television, but this is a great DVD for young children.  The music is catchy (but not irritating as a lot of childrens music is), and the words are straight out of scripture.  There is a nice variety of upbeat songs and quieter songs.  My son is almost 2, and he asks for his ""Bible Kids"" ALL the time.  Our copy is several years old and scratched, I came looking on Amazon to buy a replacement, but it is unavailable.  I hope if it is out of production that it will be remade in the future, I wish there were more DVD's like this on the market for kids.  I give this a five star rating for content and quality.  If you are going to be annoyed by the very 80's style clothing, I'll give it a four ;)",5.0
My grandkids loved this and it made it easy for them to learn scripture verses I a fun way. The DVD was a great bonus.,5.0
The little ones love this,5.0
We LOVE this at our house!!! My 4 year old knows all of the songs and I catch her singing them constantly. Our toddler loooooves watching the DVD and dances to the CD whenever we put it in. She even hums along and chimes in a word here and there where she can!,5.0
Love it!!  Great way to teach children the Bible in a fun way.  (Side bonus--adults are reminded of the Biblical truths again.),5.0
One of our family's favorites!  Still singing the songs 15 years later :),5.0
"Loved volume 1, and now there's another volume to learn songs to scripture and life lessons.  This is a great way to get scripture in our hearts!",5.0
"Fun for kids ~ inside and out.
Best way to get God's Word in their hearts and on their minds.",5.0
"This video may be dated, but my grandchildren listen and watch is almost daily.  Even I find myself singing along at randomly times when it isn't even playing.",5.0
The CD Is great and teaching kids the Word of God through song! The DVD is 80s and you can tell but still great and clear!,5.0
My granddaughter loves it! This is her bedtime music; she walks around the house singing SCRIPTURE.Steve Green's voice is that strong tender that brings respect for the WORD of GOD.,5.0
"When I was a little girl, my parents had both the VHS tapes and the cassettes for both Hide 'Em In Your Heart volumes. We also saw Steve Green do these live a time or two.  My siblings and I knew every song by heart, and we loved them.

Now, I have children of my own.  My daughter, barely two years old now, was given this DVD/CD combo pack by her Nonni and Poppop.  She knows all the songs.  Just yesterday she ran around singing ""My Father's House . . . Mickey Mansions . . . Prepare a place for YOU, for YOU!""  I almost cried with joy.

Having my children learn the Bible through these songs is priceless, especially since this was (and often still is) how I learned and remembered Scripture growing up.  The songs are short enough to hold interest and are easily learned by even the youngest child. My son is seven months old and, while he is too young to sing them, he recognizes them to the point that he will stop screaming and begin giggling and smiling when he hears the music begin.

Each song is introduced by the corresponding Bible verse and often a brief, simple explanation to help little ones understand what is being taught.

I cannot recommend this highly enough.  Get this music for your children and grandchildren and watch in wonder as they sing Bible verses all day long.  Hide 'Em In Your Heart got five stars from me as a child, and it has ten stars from me as a parent!",5.0
My son loves this video!  It came in perfect condition and in a very timely manner.  I would recommend this for parents with young children.,5.0
"I grew up with this on VHS, thats why I bought it for my boys. Loved that it was a DVD/CD combo. One in the house ,other in the car. My boys are entranced by this movie. I get so much done without them underfoot when its running",5.0
"I have three small children, one doesn't even watch tv yet.  The three and four year old will sit and watch the video.  It's great because as they go about singing the songs they are learning scripture.  No they don't understand everything, but it's hiding in their hearts for when they will need it later.  OK, a little silly, but they seem to like it.",5.0
"We enjoyed the original VHS, so I was already impressed with the content.
What a great treat to purchase the CD and the DVD together.  My whole
family loves it: my toddler enjoys the music and interaction; my teen feels
nostalgic about it; my husband and I are pleased with the content and
presentation.",5.0
"Arrived quickly, in great shape, and exactly as I requested.  It is a great CD for helping to learn the Scriptures.",5.0
"The video is terribly dated, but the singing is so nice.  My daughter loves both the DVD and the cd.",5.0
"I have enjoyed this video for many years with my nephew and nieces.  As soon as my daughter was old enought to enjoy it, I purchased it.  She loves to watch other kids and she loves to sing and dance.  All of that along with a very good way to remember age appropriate scripture makes this video a must have for my family!",5.0
"I loved this video and want to order 2 more for my grandchildren.  It gives a simple, easy to understand explanation of the Bible verse and then the verse set to appropriate muusic!",5.0
"Finally! Scripture songs that are geared towards kids that are so nice to listen to! Steve Green has my kids memorizing scripture, and me too! Everyone loves these songs!",5.0
"The C.D. / DVD is wonderful, the music is great...but there are no performance tracks for our 3 & 4 year old choir.  And there is no sheet music available either.

The music is really great, but it needs to be supported for children's choirs.",5.0
The DVD came in great condition and provided lots of entertaining minutes of reliving the past.  Definitely worth the money.,5.0
What a great way to instill the Word of God in your child's heart. It has been a treasure to hear my 4 year old sing these songs out of the blue. The music is well done and encouraging. I find it is so good for my heart too.,5.0
"Wonderful, fun way to teach truths to children.  Every child I know loves these videos and songs.  Good for parents too.",5.0
Every evangelical Christian should be familiar with the information provided in this video.,5.0
"This was an amazing DVD that I definitely recommend.  What I found interesting was the background and beginning of both, Planned Parenthood and the ACLU!  It actually turned my stomach a couple times.  Hopefully you enjoy it as well.",5.0
"I enjoyed the Gospel focused presentation of the history of our nation, but one section regarding the trial of a soldier for homosexuality is inappropriate for younger children. Also, later in the movie there are some clips of violence against a church by homosexual activists covered by news reports that would be too strong from young children.  Lastly, open displays of affection by homosexuals is covered by news reports at the end of the movie as well.  My advice is to view the movie yourself first and then determine what sections you can allow your children to view.  If you are not a Christian, you'll hate this movie.",5.0
"A great video that should be shown in schools, churches,etc. Provides an interesting historical perspective. Very well done and presented.",5.0
"This documentay takes you on a journey...from Christopher Columbus to Jamestown...from Valley Forge to the Constitutional Convention...from the Civil War to the Industrial Revolution...from World War I to the Stock Market Crash...from FDR to the present. Our journey will give a basic grasp of God's sovereign hand behind the history of our nation, which our forefathers so clearly understood. The result of this journey will give us a better understanding of where America is today, how she arrived here, and where she must turn at this critical hour. For as Thomas Jefferson once asked, ""Can the liberties of a nation be secure, when we have removed the conviction that these liberties are the gift of God?"" ""Should be viewed by everyone across the nation"" Don Wildmon, President, American Family Association ""an excellent video for anyone wanting to know the truth about the history and heritage of this nation"" Jim Woodall, V.P., Concerned Women For America ""I expect it to have a major impact on audiences wherever it is shown"" D. James Kennedy, pastor, Coral Ridge Ministries ""an excellent video presentation of the moral and spiritual crisis in America and the urgent necessity of recovering the truth about America's Christian heritage"" Peter Marshall, author and historian ""A NATION ADRIFT is an excellent history lesson concerning the religious roots of America. Every person in this country, young and old, should enjoy viewing it""
Bill Dannemeyer, U.S. Congressman ""I am confident that, if every American took the time to view A NATION ADRIFT, it would have a history-changing impact on our nation's course"" Howard Phillips, Chairman, U.S. Taxpayers Alliance ""I'm always looking for videos to use to help tell Americans what it truth or fact in this country and A NATION ADRIFT is on of the finest that's ever been produced...the finest in content and the finest in technical quality"" Marlin Maddoux, Point of View, radio talk show host ""in only 90 minutes, a viewer can see and hear enough new and significant information to all but obviate the need to even take a U.S. history class. This video should be seen by every American"" Dale Mason, V.P., Gospel Films ""an upbeat, unforgettable evening of entertainment. Feel good about America again"" Dan Faddis, Impact Resources",5.0
"I grew up in Independence, Missouri the ""show me state"".  When I was in Junior high and we were studing about World War II and the atom bomb, from my history class I looked out the window to see Harry S. Truman walking to city hall to vote with a secrete serviceman by his side.  But I learned more American History from NATION ADRIFT than I did in high school and college.  Plus, I saw things that are rarely mentioned now, perhaps because we are all trying to be so politically correct that we left a few things out that really happened.  Seeing is believing.",5.0
This is a real eye opener. You will feel outraged and saddened by what has slowly happened to this country. You will feel inspired to fight the good fight in order to not lose any more ground to the liberals in our country. You will get an insight to the US Court sytems and how their controversial decisions have slowly eroded our freedoms and challenge the very fabric that this great nation was founded upon.,5.0
It is a great book about History!,5.0
excellent as usual,5.0
"A great read.  So much historical info.

Thank you,",5.0
Worthwhile for the whole family to see andvtoncirculaye among friends.  Very well done!,5.0
Should be a must read,5.0
Well done video with important information that Americans should know.,5.0
This is a great movie if you love the USA,5.0
A must see for everyone. The ones who get it will understand. The blind will pass it off.,5.0
really good help me understand a few things must see,5.0
This is a must see very informative,5.0
"Show the decline of courage, honor and moral character by showing America like it is in 2014 today - a must see!!!!!!!!!!!!!!!",5.0
I had watched parts of this film before.  Man I'm glad I got to watch it all.  The historical background on Planned Parenthood and the ACLU is information everyone should have.  I will be recommending this to everyone.,5.0
"If you love God and Country, this exposes another layer of the attack against both. well work the time watching ans sharing with your friends",5.0
"There is an essential message here that is not being told in society today.  People claim that this nation was not founded on Christianity, and that the writers of the Constitution were actually Deists rather than Christians.  There is a preponderance of evidence over centuries of time presented here, including the wording of documents such as the Mayflower Compact, that establish the Christian heritage of this nation unapologetically beyond refute, as a matter of history.

The other story that is not being told is the origins and destructive objectives of organizations such as Planned Parenthood and the American Civil Liberties Union (ACLU).  The founder of Planned Parenthood was interested in eugenics, and specifically in reducing the number of Blacks to survive being born in this country.  Efforts by the ACLU to remove prayer and the Bible from school are shown to be in direct conflict with the statements by the founding fathers about what they considered to be essential for a proper education that would equip the youth of this country for effective citizenship.  The redefinition of marriage to include homosexual relationships is shown to be tearing at the fabric of the traditional family, and of the stability of our society.

We HAVE become A Nation Adrift, and much of that comes from ignorance of how this country was founded, and of the sacrifices that were made along the way.  This DVD would be beneficial for viewing in every home, school, and church in this country.",5.0
"This movie should be seen by everyone. It chronicles how this country started and quickly became the greatest, freest, and most prosperous country in the world through faith in God and freedom. And how and why we are losing that greatness, freedom and prosperity.",5.0
What a great video that gives the early history of our great country!  I'd highly recommend this to everyone - especially for school children that are not learning the history of our country.,5.0
I found this dvd put together with historical facts and visuals that kept my interest in the issues discussed. would recommend 6-12 grade classes watching this.,5.0
"Well done!  I will definitely be showing this to my children when they get a little older.  This is the documentary you will never see in our public school system these days.  Ironically, it is the one documentary that you should have to see before you graduate.  It is amazing how far our country has fallen from the original intentions of our Founding Fathers.  This is a great reminder of what liberalism and political correctness has done to the United States of America.",5.0
This is the history we need to be teaching in our schools. Everyone should see this!,5.0
A Nation Adrift is a must see documentary.  It tells you what your history books didn't or tells your children what they don't hear in school.  This true American history needs to be shown in every church across the United States.  We as Christians have failed to guard what God has given us.  God have mercy on us.  LW,5.0
Really excellent piece of work showing the beliefs of the founding fathers and what is happening now to our nation.,5.0
"Of course it's impossible to separate Henry Winkler from his famous Fonzie persona, but he actually does a great job as a Scrooge-character in this movie.  His performance is quiet and subdued, not overdone as we might expect from such an intense actor.  I thought Winkler did a great job chaning out of his Fonzie image and taking on the roll of an embittered and lonely miser.
Actually the characters Winkler plays aren't all that different from each other.  Slade felt abandoned and betrayed by those he'd loved, and Fonzie was also abandoned by his parents.  Winkler's parents turned their backs on him when he was a young man because he wanted to be an actor instead of following the family business.  I believe that's why he does rolls like this so well.
I was quite surprised to find this movie available on DVD and have gladly purchased it to add to my collection of Christmas movies.",5.0
"When this first aired in 1979, I enjoyed it so much I clean forgot it was ""A Christmas Carol"".  I wanted to see it over and over again thoughout the year.  When I finally got a copy on VHS, I got that wish.  Now I finally got the DVD copy and am I glad.  To see Henry Winkler as the best Scrooge or variation on him since Alistair Sim in the 1951 version now on DVD is a treat for the gods.  Although I have both the 1984 and 1999 made for television films made with George Scott and Patrick Stewart on DVD, this version was the first attempt to bring the classic Dickens tale to the small screen. It is as just as enjoyable today as it was 20 plus years ago, and this way it will live forever.  Get it now and on disc before it gets away.",5.0
"I must confess to being a bit of a coinsure of Dickens' classic tale.  I have many versions of it and always love seeing the various interpretations offered.  This one, however, continues to be one of my all time favorites.  The change of setting forces the film to explain elements of the book that most films overlook because they assume you're already familiar with the story.  Examples of this include how Scrooge (Slade in the film) could be so mean and yet think himself a just man, also the reason the ghost of his dead partner is miserable (not understanding the need to do good until he has lost the power).  Add to this the wonderful performances by Winkler et al and you've got an absolutely classic film.
In my opinion, this version of Dickens' story is closer to the original spirit of his work than many less derivative versions.  The material is handled with reverence and respect and it shows, the settings and characters are well conceived, and the look of the film is faithful to the period.  All in  all an excellent holiday piece well worth the money.",5.0
i thought that actor dorian harewood was fantastic in this role.,5.0
One of my family's favorite Christmas movies ever. Henry Winkler is wonderful!,5.0
as described,5.0
Nice movie,5.0
A good movie with morals,5.0
"My favorite "" Christmas Carol"".",5.0
Love the twist on this classic!,5.0
Love the movie.,5.0
"An inspirational version of the Christmas Carol, enjoyable and upbeat",5.0
This TV movie brought back fond memories of the first time my wife and I watched it in the late 70's. Henry Winkler did a great job with the character of an American Scrooge. It was radical change from the Fonz.,5.0
"More of a 'modern' version of the classic.  I didn't think I'd be impressed when my parents took this out but I gave it a try and have to say...what a great adaptation.  The cast was great, Winkler was exceptional.  I was very happy to see this on Amazon and happened to catch it when the price went way down so I snapped it up.  Great timeless classic...and Winkler really surprised me with his portrayal.",5.0
Perfect!,5.0
"Our previous dvd of An American Christmas Carol was lost and as this is one of my husband's favorite Christmas movies I bought it for him.  The quality of this new version is much, much better than what we had before.  I would highly recommend it !",5.0
"A rare classic,  a good movie.",5.0
I've always loved this version of a Christmas Carol.  Henry Winkler does a great job portraying a 1930's American version of Scrooge.  The video quality is decent too!,5.0
"Saw this as a kid/teenager and really liked it. Even though it was set in the Depression era, I found it a more  contemporary and relatable version of the story. Who knew the Fonz could be something other than the Fonz? Good story and enjoyable.",5.0
"One of our favorite renditions of The Christmas Carol!  Of course, any movie with Henry Winkler is bound to be good.  We also ordered a DVD (Hallmark movie) he starred in, ""The Most Wonderful Time of the Year"", which will not dissapoint Henry Winkler fans!",5.0
The Christmas Carol is my all time favorite story.  I haven't found a version that I haven't disliked yet.  This one was no exception.  Henry Winkler did an awesome joy portraying the Scrooge like character.,5.0
"Heard about this movie saw it years ago. Husband wanted to see it, I just added it to my christmas movie collection.",5.0
Me and my husband love this movie,5.0
Great movie thank you !!!,5.0
Great spin on the Classic Christmas Story by the master C. Dickens...,5.0
I love  this movie.  Bought for myself,5.0
Perfect family tradition movie!!,5.0
great movie,5.0
Good movie,5.0
I have been looking for this dvd for a long time. Love Henry Winkler in the movie,5.0
"There are MANY versions of ""A Christmas Carol"" out there. In my humble opinion, this feature length story, set in America during the Great Depression, starring Henry Winkler in the ""Scrooge"" role, is BY FAR the finest interpretation of the classic story. It's as Dickens would have written if he had lived in America in the 1930's. The human drama is REAL, and the joyful ending brings Dickens' ending into the American culture. BIG smile !",5.0
Henry Winkler puts his talent of playing the scrooge very well. I'm very glad to own it.,5.0
One of the movies I watch every Christmas season. Replaced VHS with DVD,5.0
A classic,5.0
Awesome show.,5.0
I've watching this movie for several Christmas seasons and I just love it!,5.0
I've always liked the Scrooge movies and this one was a nice twist.,5.0
this is my all time fav christmas movie.  if you haven't seen this version you need to check it out at least once in your life.,5.0
Always loved this version of a Christmas Carol.,5.0
I bought this because I love the movie and i watch it every year,5.0
Good movie. Good buy.,5.0
My husband likes to watch and compare all of the Christmas Carol movies at the holiday. We were glad to be able to find this version.,5.0
Well Done! Enjoyed it ! Will put on my list to watch every holiday season,5.0
We have always loved the Christmas Carol. This American version was thoroughly enjoyed.,5.0
An excellent Christmas movie,5.0
Excellent movie. Must watch for all c.e.o.'s,5.0
Will surely be a classic.,5.0
Fantastic movie,5.0
"I've seen ACC several times over the years and it has really grown on me as a homey American rendition of Dickens' classic work. It has it's own charm and message while maintaining inspiration of the original. One of the reasons I bought ACC from Amazon is that television has overlooked it, which is unfortunate.",5.0
Excellent DVD!  Thanks Amazon.,5.0
I'm a total fan of the story always nice to see different versions,5.0
